Film,Scare Level,Quality Level ,Gore Level ,Trailer
Perfect Blue (1997),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=RrWausp8zDQ
9 (2009),Scare Me Some,Good,Not a Dop,https://www.youtube.com/watch?v=_qApXdc1WPY
Mad God (2021),Scare Me Some,Good,Buckets & Buckets,https://www.youtube.com/watch?v=jas8OABbn0Y
Faust (1994),Scare Me Some,Good,Paper Cut,https://www.youtube.com/watch?v=38nSgWs26TE
Nightmare on Elm Street 2 (1985),Scare Me Some,Meh,Missing Limbs,https://www.youtube.com/watch?v=9iqNVyjwLFA
Friday the 13th Part VIII: Jason Takes Manhattan (1989),Scare Me Some,Meh,Missing Limbs,https://www.youtube.com/watch?v=Y10jRZLzTAE
Halloween III: Season of the Witch (1982),Scare Me Some,Meh,Missing Limbs,https://www.youtube.com/watch?v=JBn_iQXSmiY
The Hidden (1987),Scare Me Some,Excellent,Buckets & Buckets,https://www.youtube.com/watch?v=hInygKldb2Q
Murder Party (2007),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=TTrAX5QgChc
Near Dark (1987),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=VllIQYnC20s
The Frighteners (1996),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=lKWiQLwr9Xs
The Hitcher (1986),Scare Me Some,Excellent,Missing Limbs,https://www.youtube.com/watch?v=gaJRGK6XCVc
Speak No Evil (2022),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=INHM--6XQzQ
Peeping Tom (1960),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=c7ujjwtHuZQ
"Black Coal, Thin Ice (2014)",Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=tOCgxzhpED8
M (1931),Scare Me Some,Excellent,Not a Dop,https://www.youtube.com/watch?v=nsVproWjN6c
One Cut of the Dead (2018),Scare Me Some,Excellent,Missing Limbs,https://www.youtube.com/watch?v=Du2XfUDfjN0
Cemetery Man (1994),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=XVEhAw7bGx4
Bad Taste (1987),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=7IHwKJOZZ6U
Night of the Living Dead (1968),Scare Me Some,Excellent,Missing Limbs,https://www.youtube.com/watch?v=V5XwrRFP7Zw
Return of the Living Dead (1985),Scare Me Some,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=GkhCAV3wmIU
The Stuff (1985),Scare Me Some,Good,Paper Cut,https://www.youtube.com/watch?v=e_ROA_ZEGfA
Duel (1971),Scare Me Some,Great ,Not a Dop,https://www.youtube.com/watch?v=SutDTIhbQ2g
Let the Right One In (2008),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=ICp4g9p_rgo
A Girl Walks Home Alone at Night (2014),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=_YGmTdo3vuY
The Cremator (1969),Scare Me Some,Excellent,Paper Cut,https://www.youtube.com/watch?v=QGu3aFzMWmQ
Eating Raoul (1982),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=qSq7GhMqPTE
Don't Look Now (1973),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=BI9bYR0SoMs
Klute (1971),Scare Me Some,Excellent,Paper Cut,https://www.youtube.com/watch?v=3S4rxnjwFDg
Shaun of the Dead (2004),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=cqDy3dXLBO8
Friday the 13th (1980),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=Xqqej9T2gqI
Sleepaway Camp (1983),Scare Me Some,Meh,Buckets & Buckets,https://www.youtube.com/watch?v=vImv6yxkxJE
Race with the Devil (1975),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=wqv6PIH_ymY
Road Games (1981),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=bMheJFjh-5o
Phantasm (1979),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=RIRVOepV9Ik
Psycho (1960),Scare Me Some,Excellent,Paper Cut,https://www.youtube.com/watch?v=DTJQfFQ40lI
Return to Oz (1985),Scare Me Some,Good,Not a Dop,https://www.youtube.com/watch?v=q7DWx9xL23Y
Jaws (1975),Scare Me Some,Excellent,Missing Limbs,https://www.youtube.com/watch?v=U1fu_sA7XhE
The Birds (1963),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=0fJh2gIBOto
Cropsy (2009),Scare Me Some,Good,Not a Dop,https://www.youtube.com/watch?v=ANek84jNYp8
Resurrect Dead (2011),Scare Me Some,Great ,Not a Dop,https://www.youtube.com/watch?v=VIWpJ5Jl4fE
Room 237 (2012),Scare Me Some,Great ,Not a Dop,https://www.youtube.com/watch?v=sJr7TEVvjqw
"Bodies, Bodies, Bodies (2022)",Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=DMgLMaLlK9k
It's What's Inside (2024),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=RJBNi0CjX5I
I Saw the Tv Glow (2024) ,Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=kymDzCgPwj0
House (1977),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=WQ_Yo06kIIA
Body Bags (1993),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=P7SpFO50Ifs
Salem's Lot (1979),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=f27iJTxhPX0
People Under the Stairs (1991),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=gx4jKIzvVUo
The Shout (1978),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=MWJbPOgEkEM
Thanksgiving (2023),Scare Me Some,Good,Buckets & Buckets,https://www.youtube.com/watch?v=KbU50SdL8zA
Black Christmas (1974),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=k6JuJHmVsh4
Krampus (2015),Scare Me Some,Meh,Paper Cut,https://www.youtube.com/watch?v=h6cVyoMH4QE
Cabin in the Woods (20120,Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=NsIilFNNmkY
Bubba Ho-Tep (2003),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=pXGP07vrab8
Army of Darkness,Scare Me Some,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=CZ-wU5RXw2o
Devil's Backbone (2001),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=hLfd9435XQI
Pan's Labyrinth (2006),Scare Me Some,Excellent,Paper Cut,https://www.youtube.com/watch?v=AcHasH-nLhU
Crimson Peak (2015),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=oquZifON8Eg
Kill List (2011),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=aqkqF--v1tg
Drag me to Hell (2009),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=Cd8NNcd4Oeo
The Cell (2000),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=eIpy4p_yMV0
Happy Death Day (2017) ,Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=1NTaDm3atkc
April Fools Day (1986),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=WI7ZQvMPh5c
Dressed to Kill (1980),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=AE37peg5fTU
